State,County,,,,,,,,AOR,,"Activation
Date",,,Submissions,,,Misdemeanor Matches,Felony Matches,,,Total Matches,"Convicted
Criminals L1",Misdemeanor Returns,,"Convicted
Criminals L2",,"Convicted
Criminals L3",Felony Returns,,"ICE Fugitives
1,2",,,"Prior
Removals and Returns1,3",,,,"EWIs, Visa
Violators and Overstays1",No Criminal Conviction Return,,Total Returns
SC,Richland,,,,,,,,ATL,,4/12/2011,,,"60,448",,,245,667,,,912,41,,,43,,67,110,,1,,,19,,,,2,22,,173
KY,Jefferson,,,,,,,,CHI,,3/20/2012,,,"40,133",,,228,680,,,908,15,,,25,,27,52,,1,,,17,,,,7,25,,92
AL,Jefferson,,,,,,,,NOL,,4/26/2011,,,"84,672",,,205,699,,,904,12,,,15,,49,64,,6,,,34,,,,6,46,,122
FL,Hendry,,,,,,,,MIA,,6/22/2010,,,"8,473",,,181,723,,,904,25,,,29,,66,95,,4,,,21,,,,4,29,,149
TX,Nueces,,,,,,,,HOU,,6/19/2009,,,"44,449",,,253,631,,,884,45,,,24,,37,61,,3,,,40,,,,9,52,,158
NJ,Union,,,,,,,,NEW,,2/21/2012,,,"10,993",,,380,498,,,878,6,,,7,,8,15,,6,,,12,,,,5,23,,44
TX,McLennan,,,,,,,,SNA,,1/26/2010,,,"28,281",,,200,677,,,877,49,,,51,,54,105,,1,,,49,,,,10,60,,214
WV,Harrison,,,,,,,,PHI,,10/26/2010,,,"4,800",,,9,848,,,857,0,,,1,,1,2,,0,,,0,,,,0,0,,2
CO,Adams,,,,,,,,DEN,,5/22/2012,,,"13,820",,,197,656,,,853,18,,,27,,24,51,,0,,,0,,,,0,0,,69
TN,Hamilton,,,,,,,,NOL,,6/22/2010,,,"60,226",,,109,707,,,816,52,,,65,,71,136,,2,,,14,,,,0,16,,204
WA,Benton,,,,,,,,SEA,,7/19/2011,,,"16,864",,,212,594,,,806,42,,,30,,55,85,,0,,,5,,,,6,11,,138
OH,Hamilton,,,,,,,,DET,,7/20/2010,,,"71,178",,,158,640,,,798,35,,,69,,103,172,,1,,,13,,,,3,17,,224
MN,Ramsey,,,,,,,,SPM,,2/7/2012,,,"17,676",,,308,488,,,796,11,,,23,,14,37,,1,,,9,,,,2,12,,60
AZ,Coconino,,,,,,,,PHO,,8/10/2010,,,"28,176",,,153,639,,,792,62,,,86,,96,182,,0,,,36,,,,11,47,,291
MD,Howard,,,,,,,,BAL,,3/22/2011,,,"14,094",,,178,608,,,786,15,,,12,,16,28,,4,,,8,,,,2,14,,57
KS,Ford,,,,,,,,CHI,,4/5/2011,,,"5,147",,,84,699,,,783,8,,,24,,17,41,,2,,,5,,,,1,8,,57
LA,East Baton Rouge Parish,,,,,,,,NOL,,6/2/2010,,,"81,008",,,185,595,,,780,29,,,35,,72,107,,17,,,35,,,,6,58,,194
DC,District of Columbia,,,,,,,,WAS,,6/5/2012,,,"17,972",,,191,587,,,778,10,,,5,,3,8,,3,,,5,,,,4,12,,30
TX,Brazoria,,,,,,,,HOU,,9/16/2009,,,"19,748",,,140,626,,,766,35,,,25,,40,65,,6,,,18,,,,3,27,,127
FL,Highlands,,,,,,,,MIA,,12/8/2009,,,"15,178",,,183,579,,,762,39,,,26,,38,64,,5,,,38,,,,3,46,,149
VA,Virginia Beach City,,,,,,,,WAS,,4/20/2010,,,"47,978",,,156,596,,,752,27,,,33,,42,75,,9,,,14,,,,5,28,,130
CA,Butte,,,,,,,,SFR,,7/27/2010,,,"34,886",,,239,506,,,745,31,,,16,,25,41,,1,,,7,,,,2,10,,82
CO,El Paso,,,,,,,,DEN,,2/15/2011,,,"30,094",,,273,457,,,730,46,,,30,,25,55,,1,,,10,,,,1,12,,113
