State,County,,,,,,,,AOR,,"Activation
Date",,,Submissions,,,Misdemeanor Matches,Felony Matches,,,Total Matches,"Convicted
Criminals L1",Misdemeanor Returns,,"Convicted
Criminals L2",,"Convicted
Criminals L3",Felony Returns,,"ICE Fugitives
1,2",,,"Prior
Removals and Returns1,3",,,,"EWIs, Visa
Violators and Overstays1",No Criminal Conviction Return,,Total Returns
OK,Blaine,,,,,,,,DAL,,11/15/2011,,,137,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Dewey,,,,,,,,DAL,,11/15/2011,,,66,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Latimer,,,,,,,,DAL,,11/15/2011,,,211,,,0,2,,,2,0,,,1,,0,1,,0,,,0,,,,0,0,,1
OK,Pawnee,,,,,,,,DAL,,12/14/2010,,,"1,493",,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Roger Mills,,,,,,,,DAL,,5/3/2011,,,240,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OR,Grant,,,,,,,,SEA,,9/27/2011,,,435,,,0,2,,,2,0,,,0,,0,0,,0,,,1,,,,0,1,,1
PA,Lawrence,,,,,,,,PHI,,5/30/2012,,,"1,538",,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
PA,Mifflin,,,,,,,,PHI,,5/30/2012,,,463,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
PA,Montour,,,,,,,,PHI,,5/30/2012,,,93,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
PA,Venango,,,,,,,,PHI,,5/30/2012,,,768,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
PR,Guayama,,,,,,,,MIA,,6/7/2011,,,"1,020",,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SC,Calhoun,,,,,,,,ATL,,5/17/2011,,,492,,,2,0,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SC,Lee,,,,,,,,ATL,,6/14/2011,,,"1,341",,,0,2,,,2,0,,,0,,1,1,,0,,,1,,,,0,1,,2
SD,Clark,,,,,,,,SPM,,4/17/2012,,,25,,,2,0,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Grant,,,,,,,,SPM,,4/17/2012,,,118,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Hamlin,,,,,,,,SPM,,4/17/2012,,,32,,,0,2,,,2,0,,,0,,1,1,,0,,,0,,,,0,0,,1
SD,Spink,,,,,,,,SPM,,4/17/2012,,,66,,,0,2,,,2,0,,,0,,0,0,,1,,,0,,,,0,1,,1
SD,Stanley,,,,,,,,SPM,,4/17/2012,,,82,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Union,,,,,,,,SPM,,4/17/2012,,,345,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Hardin,,,,,,,,NOL,,1/10/2012,,,"1,265",,,2,0,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Meigs,,,,,,,,NOL,,1/10/2012,,,"1,077",,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Moore,,,,,,,,NOL,,1/10/2012,,,241,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Polk,,,,,,,,NOL,,1/10/2012,,,"1,167",,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Stewart,,,,,,,,NOL,,1/10/2012,,,750,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Wayne,,,,,,,,NOL,,1/10/2012,,,873,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Coke,,,,,,,,DAL,,8/24/2010,,,139,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Delta,,,,,,,,DAL,,7/7/2010,,,520,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Motley,,,,,,,,DAL,,9/21/2010,,,26,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Shackelford,,,,,,,,DAL,,8/10/2010,,,173,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
UT,Garfield,,,,,,,,SLC,,12/20/2011,,,143,,,1,1,,,2,1,,,0,,0,0,,0,,,0,,,,0,0,,1
VA,Mathews,,,,,,,,WAS,,6/2/2010,,,461,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
VT,Grand Isle,,,,,,,,BOS,,5/22/2012,,,121,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
WA,Stevens,,,,,,,,SEA,,4/3/2012,,,"1,075",,,2,0,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
WI,Bayfield,,,,,,,,CHI,,1/11/2011,,,910,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
WI,Crawford,,,,,,,,CHI,,1/11/2011,,,444,,,1,1,,,2,0,,,1,,0,1,,0,,,0,,,,0,0,,1
WI,Price,,,,,,,,CHI,,1/11/2011,,,608,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
WV,Greenbrier,,,,,,,,PHI,,10/26/2010,,,"1,612",,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
WV,Nicholas,,,,,,,,PHI,,10/26/2010,,,831,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
WV,Putnam,,,,,,,,PHI,,10/26/2010,,,"1,580",,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
WY,Big Horn,,,,,,,,DEN,,5/15/2012,,,100,,,1,1,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
WY,Niobrara,,,,,,,,DEN,,5/15/2012,,,115,,,0,2,,,2,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AK,Aleutians East Borough,,,,,,,,SEA,,4/10/2012,,,65,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AK,Haines Borough,,,,,,,,SEA,,4/10/2012,,,11,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AK,Nome Census Area,,,,,,,,SEA,,4/10/2012,,,607,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AK,Northwest Arctic Borough,,,,,,,,SEA,,4/10/2012,,,396,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AK,Petersburg Census Area,,,,,,,,SEA,,4/10/2012,,,52,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AK,Wrangell?Petersburg  Census Area,,,,,,,,SEA,,4/10/2012,,,56,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Barbour,,,,,,,,NOL,,1/22/2013,,,183,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Butler,,,,,,,,NOL,,1/22/2013,,,147,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Covington,,,,,,,,NOL,,1/22/2013,,,345,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Greene,,,,,,,,NOL,,1/22/2013,,,58,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Henry,,,,,,,,NOL,,1/22/2013,,,137,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Marion,,,,,,,,NOL,,6/14/2011,,,90,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Russell,,,,,,,,NOL,,1/22/2013,,,395,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Sumter,,,,,,,,NOL,,1/22/2013,,,27,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Washington,,,,,,,,NOL,,7/12/2011,,,"1,132",,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AR,Clay,,,,,,,,NOL,,5/15/2012,,,306,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AR,Fulton,,,,,,,,NOL,,5/15/2012,,,193,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AR,Lawrence,,,,,,,,NOL,,5/15/2012,,,221,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AR,Logan,,,,,,,,NOL,,5/15/2012,,,269,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AR,Nevada,,,,,,,,NOL,,5/15/2012,,,171,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
CA,Alpine,,,,,,,,SFR,,2/22/2011,,,64,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
GA,Clinch,,,,,,,,ATL,,12/6/2011,,,327,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
GA,Lincoln,,,,,,,,ATL,,12/6/2011,,,311,,,0,1,,,1,0,,,0,,1,1,,0,,,0,,,,0,0,,1
GA,Quitman,,,,,,,,ATL,,12/6/2011,,,234,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
GA,Stewart,,,,,,,,ATL,,12/6/2011,,,165,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Appanoose,,,,,,,,SPM,,1/24/2012,,,589,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Audubon,,,,,,,,SPM,,1/24/2012,,,80,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Davis,,,,,,,,SPM,,1/24/2012,,,120,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Decatur,,,,,,,,SPM,,1/24/2012,,,140,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Delaware,,,,,,,,SPM,,1/24/2012,,,407,,,0,1,,,1,0,,,0,,0,0,,0,,,1,,,,0,1,,1
IA,Howard,,,,,,,,SPM,,1/24/2012,,,203,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Jackson,,,,,,,,SPM,,1/24/2012,,,337,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Keokuk,,,,,,,,SPM,,1/24/2012,,,163,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Monroe,,,,,,,,SPM,,1/24/2012,,,257,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Page,,,,,,,,SPM,,1/24/2012,,,293,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Worth,,,,,,,,SPM,,1/24/2012,,,152,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ID,Idaho,,,,,,,,SLC,,11/29/2011,,,443,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ID,Lemhi,,,,,,,,SLC,,11/29/2011,,,280,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Alexander,,,,,,,,CHI,,9/14/2010,,,558,,,0,1,,,1,0,,,1,,0,1,,0,,,0,,,,0,0,,1
IL,Bureau,,,,,,,,CHI,,1/22/2013,,,115,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Clark,,,,,,,,CHI,,1/22/2013,,,52,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Clay,,,,,,,,CHI,,1/22/2013,,,85,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Crawford,,,,,,,,CHI,,11/9/2010,,,906,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Greene,,,,,,,,CHI,,1/22/2013,,,63,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Henderson,,,,,,,,CHI,,1/22/2013,,,78,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Jefferson,,,,,,,,CHI,,1/22/2013,,,166,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Morgan,,,,,,,,CHI,,1/22/2013,,,337,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Brown,,,,,,,,CHI,,6/7/2011,,,513,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Crawford,,,,,,,,CHI,,6/7/2011,,,493,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Fayette,,,,,,,,CHI,,12/13/2011,,,"1,062",,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Martin,,,,,,,,CHI,,12/13/2011,,,218,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Ohio,,,,,,,,CHI,,12/13/2011,,,224,,,0,1,,,1,0,,,0,,1,1,,0,,,0,,,,0,0,,1
IN,Switzerland,,,,,,,,CHI,,6/14/2011,,,308,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Doniphan,,,,,,,,CHI,,12/27/2011,,,332,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Elk,,,,,,,,CHI,,12/27/2011,,,92,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Jewell,,,,,,,,CHI,,12/27/2011,,,63,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Morris,,,,,,,,CHI,,12/27/2011,,,101,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Osborne,,,,,,,,CHI,,12/27/2011,,,48,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Smith,,,,,,,,CHI,,12/27/2011,,,70,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Wilson,,,,,,,,CHI,,12/27/2011,,,278,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Woodson,,,,,,,,CHI,,12/27/2011,,,138,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,1,1,,1
KY,Breathitt,,,,,,,,CHI,,3/20/2012,,,7,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Casey,,,,,,,,CHI,,3/20/2012,,,563,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Cumberland,,,,,,,,CHI,,3/20/2012,,,157,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Floyd,,,,,,,,CHI,,3/20/2012,,,484,,,0,1,,,1,0,,,0,,1,1,,0,,,0,,,,0,0,,1
KY,Grant,,,,,,,,CHI,,3/20/2012,,,458,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Greenup,,,,,,,,CHI,,3/20/2012,,,113,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Harlan,,,,,,,,CHI,,3/20/2012,,,"1,225",,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Ohio,,,,,,,,CHI,,3/20/2012,,,374,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Taylor,,,,,,,,CHI,,3/20/2012,,,217,,,1,0,,,1,1,,,0,,0,0,,0,,,0,,,,0,0,,1
KY,Whitley,,,,,,,,CHI,,3/20/2012,,,"1,103",,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
LA,Claiborne Parish,,,,,,,,NOL,,5/1/2012,,,543,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
LA,Concordia Parish,,,,,,,,NOL,,5/1/2012,,,854,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
LA,Winn Parish,,,,,,,,NOL,,5/1/2012,,,355,,,0,1,,,1,0,,,0,,0,0,,0,,,1,,,,0,1,,1
ME,Sagadahoc,,,,,,,,BOS,,5/30/2012,,,123,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MI,Crawford,,,,,,,,DET,,9/27/2011,,,947,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MI,Dickinson,,,,,,,,DET,,9/27/2011,,,"1,126",,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MI,Iron,,,,,,,,DET,,9/27/2011,,,463,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MI,Montmorency,,,,,,,,DET,,9/27/2011,,,341,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MI,Ontonagon,,,,,,,,DET,,9/27/2011,,,112,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MI,Oscoda,,,,,,,,DET,,9/27/2011,,,569,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MN,Houston,,,,,,,,SPM,,2/7/2012,,,394,,,0,1,,,1,0,,,1,,0,1,,0,,,0,,,,0,0,,1
MN,Isanti,,,,,,,,SPM,,2/7/2012,,,745,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MN,Kanabec,,,,,,,,SPM,,2/7/2012,,,350,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MN,Kittson,,,,,,,,SPM,,2/7/2012,,,61,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MN,Meeker,,,,,,,,SPM,,2/7/2012,,,235,,,1,0,,,1,1,,,0,,0,0,,0,,,0,,,,0,0,,1
MN,Norman,,,,,,,,SPM,,2/7/2012,,,73,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MN,Pope,,,,,,,,SPM,,2/7/2012,,,181,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MN,Swift,,,,,,,,SPM,,2/7/2012,,,235,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MN,Wilkin,,,,,,,,SPM,,2/7/2012,,,174,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Barton,,,,,,,,CHI,,5/10/2011,,,707,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Bates,,,,,,,,CHI,,11/8/2011,,,452,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Carroll,,,,,,,,CHI,,11/8/2011,,,153,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Cedar,,,,,,,,CHI,,5/10/2011,,,"1,426",,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Gasconade,,,,,,,,CHI,,11/8/2011,,,471,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Harrison,,,,,,,,CHI,,11/8/2011,,,218,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Hickory,,,,,,,,CHI,,11/8/2011,,,186,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Knox,,,,,,,,CHI,,11/8/2011,,,37,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Oregon,,,,,,,,CHI,,4/19/2011,,,578,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Ripley,,,,,,,,CHI,,11/8/2011,,,706,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Texas,,,,,,,,CHI,,4/19/2011,,,797,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Vernon,,,,,,,,CHI,,5/10/2011,,,"1,360",,,0,1,,,1,0,,,0,,1,1,,0,,,0,,,,0,0,,1
MS,Franklin,,,,,,,,NOL,,7/26/2011,,,103,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MS,Grenada,,,,,,,,NOL,,11/22/2011,,,638,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MS,Sunflower,,,,,,,,NOL,,7/26/2011,,,608,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MS,Tunica,,,,,,,,NOL,,11/22/2011,,,120,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MT,Fallon,,,,,,,,SLC,,4/3/2012,,,35,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MT,Glacier,,,,,,,,SLC,,4/3/2012,,,39,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MT,Lake,,,,,,,,SLC,,4/3/2012,,,630,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MT,Richland,,,,,,,,SLC,,4/3/2012,,,243,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MT,Roosevelt,,,,,,,,SLC,,4/3/2012,,,116,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MT,Sweet Grass,,,,,,,,SLC,,4/3/2012,,,62,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MT,Valley,,,,,,,,SLC,,4/3/2012,,,151,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NC,Bertie,,,,,,,,ATL,,12/14/2010,,,454,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NC,Northampton,,,,,,,,ATL,,3/15/2011,,,398,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Billings,,,,,,,,SPM,,4/10/2012,,,37,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Burke,,,,,,,,SPM,,4/10/2012,,,142,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Divide,,,,,,,,SPM,,4/10/2012,,,16,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Eddy,,,,,,,,SPM,,4/10/2012,,,59,,,0,1,,,1,0,,,0,,1,1,,0,,,0,,,,0,0,,1
ND,Kidder,,,,,,,,SPM,,4/10/2012,,,20,,,0,1,,,1,0,,,1,,0,1,,0,,,0,,,,0,0,,1
ND,Mercer,,,,,,,,SPM,,4/10/2012,,,143,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Renville,,,,,,,,SPM,,4/10/2012,,,13,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Rolette,,,,,,,,SPM,,4/10/2012,,,465,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Sargent,,,,,,,,SPM,,4/10/2012,,,50,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Steele,,,,,,,,SPM,,4/10/2012,,,27,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ND,Wells,,,,,,,,SPM,,4/10/2012,,,81,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NE,Boone,,,,,,,,SPM,,3/6/2012,,,64,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NE,Custer,,,,,,,,SPM,,3/6/2012,,,150,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NE,Furnas,,,,,,,,SPM,,3/6/2012,,,121,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NE,Jefferson,,,,,,,,SPM,,3/6/2012,,,153,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NE,Knox,,,,,,,,SPM,,3/6/2012,,,70,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NE,Logan,,,,,,,,SPM,,3/6/2012,,,6,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NE,Stanton,,,,,,,,SPM,,3/6/2012,,,9,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NM,Guadalupe,,,,,,,,ELP,,12/7/2010,,,205,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NM,Torrance,,,,,,,,ELP,,11/9/2010,,,120,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NV,White Pine,,,,,,,,SLC,,5/1/2012,,,243,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NY,Chenango,,,,,,,,BUF,,5/15/2012,,,"1,505",,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NY,Franklin,,,,,,,,BUF,,5/15/2012,,,855,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NY,Lewis,,,,,,,,BUF,,5/15/2012,,,274,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OH,Champaign,,,,,,,,DET,,12/28/2010,,,541,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OH,Pike,,,,,,,,DET,,4/19/2011,,,645,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Choctaw,,,,,,,,DAL,,5/17/2011,,,"1,094",,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Coal,,,,,,,,DAL,,11/15/2011,,,121,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Greer,,,,,,,,DAL,,11/15/2011,,,64,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Harmon,,,,,,,,DAL,,11/15/2011,,,29,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Hughes,,,,,,,,DAL,,11/15/2011,,,181,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Nowata,,,,,,,,DAL,,11/15/2011,,,104,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OR,Harney,,,,,,,,SEA,,9/27/2011,,,776,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OR,Lake,,,,,,,,SEA,,9/27/2011,,,585,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SC,Allendale,,,,,,,,ATL,,11/16/2010,,,273,,,1,0,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Corson,,,,,,,,SPM,,4/17/2012,,,40,,,0,1,,,1,0,,,0,,0,0,,1,,,0,,,,0,1,,1
SD,Custer,,,,,,,,SPM,,8/31/2010,,,254,,,0,1,,,1,0,,,0,,0,0,,0,,,1,,,,0,1,,1
SD,Dewey,,,,,,,,SPM,,4/17/2012,,,14,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Hand,,,,,,,,SPM,,4/17/2012,,,29,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Jerauld,,,,,,,,SPM,,4/17/2012,,,46,,,0,1,,,1,0,,,0,,1,1,,0,,,0,,,,0,0,,1
SD,Jones,,,,,,,,SPM,,4/17/2012,,,38,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Kingsbury,,,,,,,,SPM,,4/17/2012,,,63,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,McPherson,,,,,,,,SPM,,4/17/2012,,,12,,,0,1,,,1,0,,,0,,0,0,,0,,,0,,,,0,0,,0
